project_id,ministry,sector,state,region,implementing_agency,project_type,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,primary_bottleneck,target_schedule_delay_months,target_cost_overrun_pct,target_risk_class
PRJ-SYN-000027,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,5289.73,65,53,0.5631,4294.1,64.15,81.18,-0.09,10,6,7,0,0.7,INTERDEPARTMENTAL_DEPENDENCY,29,26.73,CRITICAL
PRJ-SYN-000028,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,1827.14,69,89,1.0,1946.1,100.0,106.51,-1.41,10,10,9,0,0.9,UTILITY_SHIFTING,9,8.03,LOW
PRJ-SYN-000029,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,811.76,30,56,1.0,886.01,100.0,109.15,-0.77,10,10,8,0,0.8,NONE,5,9.99,LOW
PRJ-SYN-000030,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,271.14,42,86,1.0,276.35,100.0,101.92,-2.5,10,10,9,0,0.9,NONE,5,4.54,LOW
PRJ-SYN-000031,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Odisha,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,579.4,71,65,0.706,498.2,75.45,85.99,-6.65,10,7,8,0,0.8,FOREST_CLEARANCE,21,24.98,HIGH
PRJ-SYN-000032,Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,538.4,65,81,1.0,575.57,100.0,106.9,-0.43,10,10,8,0,0.8,NONE,4,7.37,LOW
PRJ-SYN-000033,Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,488.47,33,82,1.0,524.67,100.0,107.41,-2.62,10,10,8,0,0.8,PROCUREMENT,6,10.3,LOW
PRJ-SYN-000034,Ministry of Railways,Railways,West Bengal,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,1627.83,29,62,1.0,1764.7,100.0,108.41,-1.86,10,10,8,0,0.8,NONE,5,10.46,LOW
PRJ-SYN-000035,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,1380.3,54,77,1.0,1451.07,100.0,105.13,-2.63,10,10,9,0,0.9,NONE,10,7.97,LOW
PRJ-SYN-000036,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Telangana,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,3439.09,25,31,1.0,3953.55,100.0,114.96,-2.79,10,10,8,0,0.8,ENVIRONMENTAL_CLEARANCE,5,18.26,LOW
PRJ-SYN-000037,Ministry of Power,Power,Karnataka,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,861.02,72,72,0.685,938.27,77.57,108.97,8.44,10,7,8,0,0.8,LAND_ACQUISITION,33,26.69,CRITICAL
PRJ-SYN-000038,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Bihar,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,740.7,60,94,1.0,942.42,100.0,127.23,-0.93,10,10,10,0,1.0,LAND_ACQUISITION,25,28.43,CRITICAL
PRJ-SYN-000039,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,554.91,28,77,1.0,645.89,100.0,116.4,-0.23,10,10,9,0,0.9,NONE,10,16.66,MODERATE
PRJ-SYN-000040,Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,1313.23,59,54,0.6422,1316.41,76.31,100.24,1.96,10,7,8,0,0.8,LEGAL_DISPUTE,25,28.07,CRITICAL
PRJ-SYN-000041,Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,600.63,48,41,0.7448,571.3,82.56,95.12,6.87,10,7,8,0,0.8,NONE,7,6.36,LOW
PRJ-SYN-000042,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Andhra Pradesh,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,683.23,55,82,1.0,740.87,100.0,108.44,-0.37,10,10,9,0,0.9,NONE,8,8.84,LOW
PRJ-SYN-000043,Ministry of Power,Power,Gujarat,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,2032.18,52,30,0.4611,1569.07,48.9,77.21,13.25,10,4,5,0,0.5,LAND_ACQUISITION,13,24.23,MODERATE
PRJ-SYN-000044,Ministry of Railways,Railways,West Bengal,East,Railway Infrastructure Board / DFCCIL,Corridor Modernization,2978.1,47,55,0.9009,3103.93,96.06,104.23,-2.59,10,9,10,0,1.0,NONE,14,11.51,MODERATE
PRJ-SYN-000045,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,829.97,58,54,0.8057,726.64,90.34,87.55,-7.68,10,8,8,0,0.8,NONE,9,5.91,LOW
PRJ-SYN-000046,Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Greenfield Construction,4773.88,26,73,1.0,6149.79,100.0,128.82,-0.17,10,10,9,0,0.9,LAND_ACQUISITION,10,29.04,MODERATE
PRJ-SYN-000047,Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,886.86,29,47,1.0,1030.78,100.0,116.23,-0.93,10,10,8,0,0.8,FOREST_CLEARANCE,6,17.32,LOW
PRJ-SYN-000048,Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Corridor Modernization,788.6,60,62,0.8976,635.93,89.82,80.64,-13.19,10,8,8,0,0.8,NONE,9,5.24,LOW
PRJ-SYN-000049,Ministry of Power,Power,Rajasthan,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,1689.97,69,76,0.9617,1892.01,90.92,111.96,7.08,10,8,8,0,0.8,DESIGN_CHANGE,10,14.24,MODERATE
PRJ-SYN-000050,Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,150.0,61,41,0.6022,133.64,73.04,89.09,11.87,10,6,5,0,0.5,NONE,7,4.93,LOW
PRJ-SYN-000051,Ministry of Jal Shakti,Water Resources,West Bengal,East,National Water Development Agency,Rehabilitation & Upgradation,1637.08,50,78,1.0,1886.4,100.0,115.23,-1.64,10,10,10,0,1.0,ENVIRONMENTAL_CLEARANCE,11,17.15,MODERATE
PRJ-SYN-000052,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Greenfield Construction,2489.88,60,82,0.9313,3253.36,91.73,130.66,6.27,10,8,9,0,0.9,FOREST_CLEARANCE,28,33.33,CRITICAL
PRJ-SYN-000053,Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Rehabilitation & Upgradation,294.76,56,93,1.0,385.02,100.0,130.62,-1.33,10,10,10,0,1.0,LAND_ACQUISITION,23,32.38,CRITICAL
PRJ-SYN-000054,Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,2818.77,43,30,0.4909,2489.56,54.3,88.32,13.46,10,5,6,0,0.6,LAND_ACQUISITION,18,30.34,HIGH
PRJ-SYN-000055,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Telangana,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,364.46,50,61,0.8705,419.91,86.03,115.21,7.11,10,8,9,0,0.9,FOREST_CLEARANCE,20,23.7,HIGH
PRJ-SYN-000056,Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,4014.31,55,28,0.458,2487.26,50.24,61.96,6.22,10,4,2,1,0.2,NONE,6,9.75,LOW
PRJ-SYN-000057,Ministry of Railways,Railways,Assam,Northeast,Railway Infrastructure Board / DFCCIL,Corridor Modernization,192.83,39,48,1.0,192.44,100.0,99.8,-2.59,10,10,0,0,0.0,NONE,0,2.45,LOW
PRJ-SYN-000058,Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,150.0,24,75,1.0,152.1,100.0,101.4,-2.6,10,10,0,0,0.0,NONE,0,4.11,LOW
PRJ-SYN-000059,Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,750.95,44,80,1.0,827.22,100.0,110.16,-2.65,10,10,9,0,0.9,DESIGN_CHANGE,11,13.15,MODERATE
PRJ-SYN-000060,Ministry of Railways,Railways,Odisha,East,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,3412.06,57,50,0.6842,3325.7,73.9,97.47,6.48,10,7,8,0,0.8,LAND_ACQUISITION,16,21.26,MODERATE
PRJ-SYN-000061,Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,546.77,68,58,0.7942,475.39,92.58,86.95,-10.15,10,8,7,1,0.7,NONE,5,5.48,LOW
PRJ-SYN-000062,Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,8417.12,67,68,0.7307,10089.9,83.43,119.87,14.57,10,7,8,0,0.8,FOREST_CLEARANCE,26,22.32,CRITICAL
PRJ-SYN-000063,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,5717.88,42,79,1.0,5899.11,100.0,103.17,-1.33,10,10,9,0,0.9,NONE,5,4.56,LOW
PRJ-SYN-000064,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,21082.76,32,43,0.9547,23767.77,89.93,112.74,-2.99,10,8,8,0,0.8,LAND_ACQUISITION,13,29.67,MODERATE
PRJ-SYN-000065,Ministry of Coal,Coal Infrastructure,Tamil Nadu,South,Coal Infrastructure PSU,Capacity Augmentation / 6-Laning,1310.4,58,56,0.8113,1514.18,86.69,115.55,10.21,10,8,8,0,0.8,ENVIRONMENTAL_CLEARANCE,11,19.25,MODERATE
PRJ-SYN-000066,Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,707.05,32,73,1.0,844.21,100.0,119.4,-1.0,10,10,8,0,0.8,FOREST_CLEARANCE,6,20.6,MODERATE
PRJ-SYN-000067,Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Corridor Modernization,974.24,67,40,0.4205,567.92,40.82,58.29,3.62,10,3,4,0,0.4,LAND_ACQUISITION,28,31.17,CRITICAL
PRJ-SYN-000068,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,983.38,34,88,1.0,1104.18,100.0,112.28,-2.31,10,10,10,0,1.0,NONE,8,14.94,MODERATE
PRJ-SYN-000069,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,156.68,72,69,0.7927,163.4,84.24,104.29,9.52,10,8,9,0,0.9,PROCUREMENT,15,11.23,MODERATE
PRJ-SYN-000070,Ministry of Railways,Railways,Odisha,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,2303.8,44,33,0.5495,1878.84,60.35,81.55,3.96,10,5,6,0,0.6,LAND_ACQUISITION,16,26.82,MODERATE
PRJ-SYN-000071,Ministry of Railways,Railways,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,386.75,28,61,1.0,437.97,100.0,113.24,-0.84,10,10,9,0,0.9,NONE,6,14.2,LOW
PRJ-SYN-000072,Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,294.64,39,54,1.0,315.03,100.0,106.92,-0.7,10,10,9,0,0.9,NONE,8,7.67,LOW
PRJ-SYN-000073,Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,848.54,50,40,0.4994,638.76,50.43,75.28,3.67,10,4,5,0,0.5,LAND_ACQUISITION,30,39.15,CRITICAL
PRJ-SYN-000074,Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,1215.13,47,80,1.0,1435.47,100.0,118.13,-1.75,10,10,10,0,1.0,LAND_ACQUISITION,14,20.24,MODERATE
PRJ-SYN-000075,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,951.63,51,67,0.9568,1022.87,91.67,107.49,-6.09,10,8,9,0,0.9,LEGAL_DISPUTE,19,25.6,HIGH
PRJ-SYN-000076,Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,340.29,35,54,1.0,394.21,100.0,115.85,-0.92,10,10,9,0,0.9,CONTRACTOR,10,16.92,MODERATE
PRJ-SYN-000077,Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,4140.1,67,57,0.5934,3746.56,64.44,90.49,7.53,10,6,7,0,0.7,LAND_ACQUISITION,29,25.74,CRITICAL
PRJ-SYN-000078,Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,1608.85,40,92,1.0,1675.31,100.0,104.13,-1.95,10,10,7,0,0.7,NONE,4,6.2,LOW
PRJ-SYN-000079,Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Corridor Modernization,1781.36,33,84,1.0,2146.73,100.0,120.51,-1.1,10,10,10,0,1.0,FOREST_CLEARANCE,10,21.85,MODERATE
PRJ-SYN-000080,Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,2560.01,45,71,1.0,3222.1,100.0,125.86,-0.21,10,10,10,0,1.0,LAND_ACQUISITION,20,26.13,HIGH
PRJ-SYN-000081,Ministry of Railways,Railways,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,790.84,37,99,1.0,1010.43,100.0,127.77,-1.57,10,10,10,0,1.0,LAND_ACQUISITION,15,29.8,HIGH
PRJ-SYN-000082,Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,5337.13,29,60,1.0,6089.17,100.0,114.09,-1.34,10,10,9,0,0.9,UTILITY_SHIFTING,9,15.64,MODERATE
PRJ-SYN-000083,Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Greenfield Construction,7093.83,32,70,1.0,8781.86,100.0,123.8,-2.96,10,10,9,0,0.9,LAND_ACQUISITION,12,27.57,MODERATE
PRJ-SYN-000084,Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Strategic Interconnection,1627.75,65,29,0.4321,728.58,46.94,44.76,-3.59,10,4,0,0,0.0,NONE,2,3.26,LOW
PRJ-SYN-000085,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Tamil Nadu,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,1380.84,51,94,1.0,1554.23,100.0,112.56,-1.92,10,10,10,0,1.0,NONE,16,14.76,MODERATE
PRJ-SYN-000086,Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,494.11,41,34,0.6794,477.22,76.81,96.58,4.02,10,7,8,0,0.8,CONTRACTOR,9,19.49,MODERATE
PRJ-SYN-000087,Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,1575.57,25,93,1.0,1903.19,100.0,120.79,-0.82,10,10,9,0,0.9,NONE,10,21.79,MODERATE
PRJ-SYN-000088,"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Andhra Pradesh,South,Major Ports Authority,Strategic Interconnection,180.67,32,53,1.0,199.5,100.0,110.42,-2.05,10,10,8,0,0.8,NONE,7,12.73,LOW
PRJ-SYN-000089,Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Corridor Modernization,5191.8,44,96,1.0,5207.15,100.0,100.3,-0.14,10,10,3,0,0.3,NONE,2,0.44,LOW
PRJ-SYN-000090,Ministry of Jal Shakti,Water Resources,Assam,Northeast,National Water Development Agency,Greenfield Construction,2917.83,45,86,1.0,3166.73,100.0,108.53,-0.28,10,10,9,0,0.9,NONE,9,8.83,LOW
PRJ-SYN-000091,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Odisha,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,771.64,56,66,0.9995,792.41,98.9,102.69,-4.52,10,9,9,0,0.9,NONE,10,8.81,LOW
PRJ-SYN-000092,"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Maharashtra,West,Major Ports Authority,Rehabilitation & Upgradation,289.3,25,66,1.0,336.37,100.0,116.27,-2.34,10,10,8,0,0.8,FOREST_CLEARANCE,7,19.06,MODERATE
PRJ-SYN-000093,Ministry of Housing & Urban Affairs,Urban Transit,Telangana,South,Metro Rail Infrastructure SPV,Corridor Modernization,617.62,51,76,1.0,693.01,100.0,112.21,-2.08,10,10,10,0,1.0,CONTRACTOR,12,14.59,MODERATE
PRJ-SYN-000094,Ministry of Railways,Railways,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,622.11,69,38,0.4361,441.91,46.64,71.03,14.22,10,4,5,0,0.5,FOREST_CLEARANCE,18,16.72,HIGH
PRJ-SYN-000095,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,549.71,45,98,1.0,605.63,100.0,110.17,-1.55,10,10,9,0,0.9,NONE,10,11.91,MODERATE
PRJ-SYN-000096,Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,3670.2,30,60,1.0,3800.99,100.0,103.56,-1.81,10,10,7,0,0.7,NONE,4,5.47,LOW
PRJ-SYN-000097,Ministry of Power,Power,Odisha,East,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,1554.21,58,45,0.5914,1372.73,67.55,88.32,4.43,10,6,7,0,0.7,FOREST_CLEARANCE,18,22.7,MODERATE
PRJ-SYN-000098,Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,1870.07,29,38,0.949,2212.17,88.83,118.29,3.88,10,8,9,0,0.9,LAND_ACQUISITION,11,27.6,HIGH
PRJ-SYN-000099,Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,1469.31,68,58,0.8167,1329.14,92.98,90.46,-2.57,10,8,5,1,0.5,NONE,3,0.06,LOW
PRJ-SYN-000100,Ministry of Housing & Urban Affairs,Urban Transit,Gujarat,West,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,438.17,25,42,1.0,460.8,100.0,105.16,-0.96,10,10,1,0,0.1,NONE,1,6.18,LOW
PRJ-SYN-000101,Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,1491.57,54,39,0.5725,1151.77,66.97,77.22,-0.67,10,6,6,0,0.6,DESIGN_CHANGE,14,16.46,MODERATE
