project_id,reporting_date,reporting_month,physical_progress_pct,cumulative_expenditure_cr
PRJ-SYN-000004,2025-09-02,82,90.64,4390.28
PRJ-SYN-000004,2025-10-02,83,91.97,4449.21
PRJ-SYN-000004,2025-11-01,84,93.3,4508.21
PRJ-SYN-000004,2025-12-01,85,94.63,4567.28
PRJ-SYN-000004,2025-12-31,86,95.97,4626.42
PRJ-SYN-000004,2026-01-30,87,97.31,4685.63
PRJ-SYN-000004,2026-03-01,88,98.65,4744.91
PRJ-SYN-000005,2024-10-07,78,77.94,1683.07
PRJ-SYN-000005,2024-11-06,79,79.15,1706.82
PRJ-SYN-000005,2024-12-06,80,80.35,1730.6
PRJ-SYN-000005,2025-01-05,81,81.56,1754.41
PRJ-SYN-000005,2025-02-04,82,82.77,1778.25
PRJ-SYN-000005,2025-03-06,83,83.98,1802.12
PRJ-SYN-000005,2025-04-05,84,85.19,1826.02
PRJ-SYN-000005,2025-05-05,85,86.41,1849.94
PRJ-SYN-000005,2025-06-04,86,87.63,1873.9
PRJ-SYN-000005,2025-07-04,87,88.86,1897.88
PRJ-SYN-000005,2025-08-03,88,90.09,1921.89
PRJ-SYN-000005,2025-09-02,89,91.32,1945.93
PRJ-SYN-000005,2025-10-02,90,92.55,1969.99
PRJ-SYN-000005,2025-11-01,91,93.78,1994.08
PRJ-SYN-000005,2025-12-01,92,95.02,2018.2
PRJ-SYN-000005,2025-12-31,93,96.26,2042.34
PRJ-SYN-000005,2026-01-30,94,97.51,2066.51
PRJ-SYN-000005,2026-03-01,95,98.75,2090.71
PRJ-SYN-000006,2024-10-07,61,73.32,204.29
PRJ-SYN-000006,2024-11-06,62,74.77,207.97
PRJ-SYN-000006,2024-12-06,63,76.22,211.67
PRJ-SYN-000006,2025-01-05,64,77.67,215.37
PRJ-SYN-000006,2025-02-04,65,79.13,219.07
PRJ-SYN-000006,2025-03-06,66,80.59,222.78
PRJ-SYN-000006,2025-04-05,67,82.06,226.5
PRJ-SYN-000006,2025-05-05,68,83.53,230.22
PRJ-SYN-000006,2025-06-04,69,85.01,233.95
PRJ-SYN-000006,2025-07-04,70,86.49,237.68
PRJ-SYN-000006,2025-08-03,71,87.97,241.41
PRJ-SYN-000006,2025-09-02,72,89.46,245.16
PRJ-SYN-000006,2025-10-02,73,90.96,248.91
PRJ-SYN-000006,2025-11-01,74,92.45,252.66
PRJ-SYN-000006,2025-12-01,75,93.96,256.42
PRJ-SYN-000006,2025-12-31,76,95.46,260.18
PRJ-SYN-000006,2026-01-30,77,96.97,263.95
PRJ-SYN-000006,2026-03-01,78,98.48,267.72
PRJ-SYN-000007,2024-10-07,33,59.31,113.41
PRJ-SYN-000007,2024-11-06,34,61.47,117.2
PRJ-SYN-000007,2024-12-06,35,63.65,120.99
PRJ-SYN-000007,2025-01-05,36,65.84,124.8
PRJ-SYN-000007,2025-02-04,37,68.04,128.62
PRJ-SYN-000007,2025-03-06,38,70.25,132.45
PRJ-SYN-000007,2025-04-05,39,72.48,136.29
PRJ-SYN-000007,2025-05-05,40,74.71,140.14
PRJ-SYN-000007,2025-06-04,41,76.96,144.0
PRJ-SYN-000007,2025-07-04,42,79.22,147.86
PRJ-SYN-000007,2025-08-03,43,81.49,151.74
PRJ-SYN-000007,2025-09-02,44,83.76,155.63
PRJ-SYN-000007,2025-10-02,45,86.05,159.52
PRJ-SYN-000007,2025-11-01,46,88.35,163.43
PRJ-SYN-000007,2025-12-01,47,90.66,167.34
PRJ-SYN-000007,2025-12-31,48,92.98,171.26
PRJ-SYN-000007,2026-01-30,49,95.31,175.19
PRJ-SYN-000007,2026-03-01,50,97.65,179.13
PRJ-SYN-000008,2024-10-07,32,43.73,202.78
PRJ-SYN-000008,2024-11-06,33,45.37,209.76
PRJ-SYN-000008,2024-12-06,34,47.03,216.77
PRJ-SYN-000008,2025-01-05,35,48.69,223.79
PRJ-SYN-000008,2025-02-04,36,50.36,230.83
PRJ-SYN-000008,2025-03-06,37,52.05,237.9
PRJ-SYN-000008,2025-04-05,38,53.74,244.98
PRJ-SYN-000008,2025-05-05,39,55.44,252.08
PRJ-SYN-000008,2025-06-04,40,57.15,259.2
PRJ-SYN-000008,2025-07-04,41,58.87,266.34
PRJ-SYN-000008,2025-08-03,42,60.6,273.49
PRJ-SYN-000008,2025-09-02,43,62.33,280.66
PRJ-SYN-000008,2025-10-02,44,64.08,287.85
PRJ-SYN-000008,2025-11-01,45,65.83,295.05
PRJ-SYN-000008,2025-12-01,46,67.59,302.27
PRJ-SYN-000008,2025-12-31,47,69.35,309.51
PRJ-SYN-000008,2026-01-30,48,71.13,316.76
PRJ-SYN-000008,2026-03-01,49,72.91,324.03
PRJ-SYN-000009,2024-10-07,22,34.96,370.53
PRJ-SYN-000009,2024-11-06,23,36.88,389.1
PRJ-SYN-000009,2024-12-06,24,38.81,407.74
PRJ-SYN-000009,2025-01-05,25,40.76,426.47
PRJ-SYN-000009,2025-02-04,26,42.72,445.27
PRJ-SYN-000009,2025-03-06,27,44.7,464.15
PRJ-SYN-000009,2025-04-05,28,46.7,483.09
PRJ-SYN-000009,2025-05-05,29,48.7,502.1
PRJ-SYN-000009,2025-06-04,30,50.73,521.18
PRJ-SYN-000009,2025-07-04,31,52.76,540.32
PRJ-SYN-000009,2025-08-03,32,54.81,559.53
PRJ-SYN-000009,2025-09-02,33,56.87,578.79
PRJ-SYN-000009,2025-10-02,34,58.95,598.11
PRJ-SYN-000009,2025-11-01,35,61.03,617.49
PRJ-SYN-000009,2025-12-01,36,63.13,636.92
PRJ-SYN-000009,2025-12-31,37,65.24,656.41
PRJ-SYN-000009,2026-01-30,38,67.36,675.95
PRJ-SYN-000009,2026-03-01,39,69.5,695.55
PRJ-SYN-000010,2024-10-07,55,57.43,2156.46
PRJ-SYN-000010,2024-11-06,56,58.69,2199.63
PRJ-SYN-000010,2024-12-06,57,59.95,2242.88
PRJ-SYN-000010,2025-01-05,58,61.21,2286.2
PRJ-SYN-000010,2025-02-04,59,62.48,2329.59
PRJ-SYN-000010,2025-03-06,60,63.75,2373.06
PRJ-SYN-000010,2025-04-05,61,65.03,2416.61
PRJ-SYN-000010,2025-05-05,62,66.31,2460.22
PRJ-SYN-000010,2025-06-04,63,67.6,2503.9
PRJ-SYN-000010,2025-07-04,64,68.89,2547.66
PRJ-SYN-000010,2025-08-03,65,70.18,2591.48
PRJ-SYN-000010,2025-09-02,66,71.48,2635.37
PRJ-SYN-000010,2025-10-02,67,72.78,2679.33
PRJ-SYN-000010,2025-11-01,68,74.09,2723.35
PRJ-SYN-000010,2025-12-01,69,75.4,2767.43
PRJ-SYN-000010,2025-12-31,70,76.71,2811.58
PRJ-SYN-000010,2026-01-30,71,78.03,2855.8
PRJ-SYN-000010,2026-03-01,72,79.35,2900.07
PRJ-SYN-000011,2024-10-07,10,20.85,496.14
PRJ-SYN-000011,2024-11-06,11,23.38,550.98
PRJ-SYN-000011,2024-12-06,12,25.95,606.33
PRJ-SYN-000011,2025-01-05,13,28.57,662.13
PRJ-SYN-000011,2025-02-04,14,31.23,718.37
PRJ-SYN-000011,2025-03-06,15,33.92,775.01
PRJ-SYN-000011,2025-04-05,16,36.65,832.03
PRJ-SYN-000011,2025-05-05,17,39.42,889.41
PRJ-SYN-000011,2025-06-04,18,42.22,947.12
PRJ-SYN-000011,2025-07-04,19,45.05,1005.16
PRJ-SYN-000011,2025-08-03,20,47.91,1063.51
PRJ-SYN-000011,2025-09-02,21,50.8,1122.14
PRJ-SYN-000011,2025-10-02,22,53.71,1181.06
PRJ-SYN-000011,2025-11-01,23,56.66,1240.25
PRJ-SYN-000011,2025-12-01,24,59.62,1299.69
PRJ-SYN-000011,2025-12-31,25,62.62,1359.38
PRJ-SYN-000011,2026-01-30,26,65.64,1419.31
PRJ-SYN-000011,2026-03-01,27,68.68,1479.47
PRJ-SYN-000012,2024-10-07,36,56.3,181.87
PRJ-SYN-000012,2024-11-06,37,58.18,187.43
PRJ-SYN-000012,2024-12-06,38,60.07,193.01
PRJ-SYN-000012,2025-01-05,39,61.97,198.61
PRJ-SYN-000012,2025-02-04,40,63.89,204.22
PRJ-SYN-000012,2025-03-06,41,65.81,209.84
PRJ-SYN-000012,2025-04-05,42,67.74,215.48
PRJ-SYN-000012,2025-05-05,43,69.68,221.13
PRJ-SYN-000012,2025-06-04,44,71.63,226.79
PRJ-SYN-000012,2025-07-04,45,73.58,232.46
PRJ-SYN-000012,2025-08-03,46,75.55,238.15
PRJ-SYN-000012,2025-09-02,47,77.53,243.85
PRJ-SYN-000012,2025-10-02,48,79.51,249.57
PRJ-SYN-000012,2025-11-01,49,81.5,255.29
PRJ-SYN-000012,2025-12-01,50,83.5,261.03
PRJ-SYN-000012,2025-12-31,51,85.51,266.78
PRJ-SYN-000012,2026-01-30,52,87.53,272.54
PRJ-SYN-000012,2026-03-01,53,89.55,278.31
PRJ-SYN-000013,2024-10-07,33,59.31,751.97
PRJ-SYN-000013,2024-11-06,34,61.47,777.07
PRJ-SYN-000013,2024-12-06,35,63.65,802.25
PRJ-SYN-000013,2025-01-05,36,65.84,827.5
PRJ-SYN-000013,2025-02-04,37,68.04,852.82
PRJ-SYN-000013,2025-03-06,38,70.25,878.21
PRJ-SYN-000013,2025-04-05,39,72.48,903.66
PRJ-SYN-000013,2025-05-05,40,74.71,929.18
PRJ-SYN-000013,2025-06-04,41,76.96,954.77
PRJ-SYN-000013,2025-07-04,42,79.22,980.41
PRJ-SYN-000013,2025-08-03,43,81.49,1006.12
PRJ-SYN-000013,2025-09-02,44,83.76,1031.89
PRJ-SYN-000013,2025-10-02,45,86.05,1057.71
PRJ-SYN-000013,2025-11-01,46,88.35,1083.6
PRJ-SYN-000013,2025-12-01,47,90.66,1109.54
PRJ-SYN-000013,2025-12-31,48,92.98,1135.53
PRJ-SYN-000013,2026-01-30,49,95.31,1161.58
PRJ-SYN-000013,2026-03-01,50,97.65,1187.68
PRJ-SYN-000014,2024-10-07,39,63.42,126.77
PRJ-SYN-000014,2024-11-06,40,65.38,130.35
PRJ-SYN-000014,2024-12-06,41,67.34,133.94
PRJ-SYN-000014,2025-01-05,42,69.32,137.53
PRJ-SYN-000014,2025-02-04,43,71.3,141.14
PRJ-SYN-000014,2025-03-06,44,73.3,144.75
PRJ-SYN-000014,2025-04-05,45,75.3,148.38
PRJ-SYN-000014,2025-05-05,46,77.31,152.01
PRJ-SYN-000014,2025-06-04,47,79.34,155.65
PRJ-SYN-000014,2025-07-04,48,81.37,159.29
PRJ-SYN-000014,2025-08-03,49,83.4,162.95
PRJ-SYN-000014,2025-09-02,50,85.45,166.61
PRJ-SYN-000014,2025-10-02,51,87.51,170.28
PRJ-SYN-000014,2025-11-01,52,89.57,173.95
PRJ-SYN-000014,2025-12-01,53,91.64,177.64
PRJ-SYN-000014,2025-12-31,54,93.72,181.33
PRJ-SYN-000014,2026-01-30,55,95.8,185.03
PRJ-SYN-000014,2026-03-01,56,97.9,188.73
PRJ-SYN-000015,2024-10-07,26,42.9,910.92
PRJ-SYN-000015,2024-11-06,27,44.88,949.53
PRJ-SYN-000015,2024-12-06,28,46.89,988.29
PRJ-SYN-000015,2025-01-05,29,48.9,1027.18
PRJ-SYN-000015,2025-02-04,30,50.93,1066.21
PRJ-SYN-000015,2025-03-06,31,52.98,1105.37
PRJ-SYN-000015,2025-04-05,32,55.04,1144.66
PRJ-SYN-000015,2025-05-05,33,57.11,1184.06
PRJ-SYN-000015,2025-06-04,34,59.19,1223.59
PRJ-SYN-000015,2025-07-04,35,61.28,1263.24
PRJ-SYN-000015,2025-08-03,36,63.39,1302.99
PRJ-SYN-000015,2025-09-02,37,65.51,1342.86
PRJ-SYN-000015,2025-10-02,38,67.64,1382.84
PRJ-SYN-000015,2025-11-01,39,69.78,1422.92
PRJ-SYN-000015,2025-12-01,40,71.93,1463.11
PRJ-SYN-000015,2025-12-31,41,74.1,1503.39
PRJ-SYN-000015,2026-01-30,42,76.27,1543.78
PRJ-SYN-000015,2026-03-01,43,78.46,1584.26
PRJ-SYN-000016,2024-10-07,10,10.57,494.51
PRJ-SYN-000016,2024-11-06,11,11.86,549.17
PRJ-SYN-000016,2024-12-06,12,13.16,604.33
PRJ-SYN-000016,2025-01-05,13,14.49,659.96
PRJ-SYN-000016,2025-02-04,14,15.84,716.01
PRJ-SYN-000016,2025-03-06,15,17.2,772.46
PRJ-SYN-000016,2025-04-05,16,18.59,829.3
PRJ-SYN-000016,2025-05-05,17,19.99,886.49
PRJ-SYN-000016,2025-06-04,18,21.41,944.01
PRJ-SYN-000016,2025-07-04,19,22.84,1001.86
PRJ-SYN-000016,2025-08-03,20,24.29,1060.01
PRJ-SYN-000016,2025-09-02,21,25.76,1118.46
PRJ-SYN-000016,2025-10-02,22,27.24,1177.18
PRJ-SYN-000016,2025-11-01,23,28.73,1236.17
PRJ-SYN-000016,2025-12-01,24,30.24,1295.42
PRJ-SYN-000016,2025-12-31,25,31.75,1354.91
PRJ-SYN-000016,2026-01-30,26,33.28,1414.65
PRJ-SYN-000016,2026-03-01,27,34.83,1474.61
PRJ-SYN-000017,2024-10-07,52,67.47,502.76
PRJ-SYN-000017,2024-11-06,53,69.03,513.4
PRJ-SYN-000017,2024-12-06,54,70.6,524.07
PRJ-SYN-000017,2025-01-05,55,72.17,534.75
PRJ-SYN-000017,2025-02-04,56,73.75,545.46
PRJ-SYN-000017,2025-03-06,57,75.33,556.18
PRJ-SYN-000017,2025-04-05,58,76.92,566.93
PRJ-SYN-000017,2025-05-05,59,78.51,577.69
PRJ-SYN-000017,2025-06-04,60,80.11,588.47
PRJ-SYN-000017,2025-07-04,61,81.72,599.26
PRJ-SYN-000017,2025-08-03,62,83.33,610.08
PRJ-SYN-000017,2025-09-02,63,84.94,620.91
PRJ-SYN-000017,2025-10-02,64,86.56,631.76
PRJ-SYN-000017,2025-11-01,65,88.19,642.63
PRJ-SYN-000017,2025-12-01,66,89.82,653.51
PRJ-SYN-000017,2025-12-31,67,91.45,664.41
PRJ-SYN-000017,2026-01-30,68,93.09,675.33
PRJ-SYN-000017,2026-03-01,69,94.74,686.26
PRJ-SYN-000018,2024-10-07,23,35.49,2838.04
PRJ-SYN-000018,2024-11-06,24,37.35,2974.06
PRJ-SYN-000018,2024-12-06,25,39.23,3110.66
PRJ-SYN-000018,2025-01-05,26,41.12,3247.8
PRJ-SYN-000018,2025-02-04,27,43.02,3385.46
PRJ-SYN-000018,2025-03-06,28,44.94,3523.64
PRJ-SYN-000018,2025-04-05,29,46.87,3662.32
PRJ-SYN-000018,2025-05-05,30,48.82,3801.47
PRJ-SYN-000018,2025-06-04,31,50.78,3941.09
PRJ-SYN-000018,2025-07-04,32,52.75,4081.15
PRJ-SYN-000018,2025-08-03,33,54.73,4221.66
PRJ-SYN-000018,2025-09-02,34,56.73,4362.59
PRJ-SYN-000018,2025-10-02,35,58.74,4503.94
PRJ-SYN-000018,2025-11-01,36,60.76,4645.69
PRJ-SYN-000018,2025-12-01,37,62.79,4787.84
PRJ-SYN-000018,2025-12-31,38,64.83,4930.37
PRJ-SYN-000018,2026-01-30,39,66.88,5073.28
PRJ-SYN-000018,2026-03-01,40,68.95,5216.56
PRJ-SYN-000019,2024-10-07,17,19.46,101.57
PRJ-SYN-000019,2024-11-06,18,20.85,108.16
PRJ-SYN-000019,2024-12-06,19,22.24,114.79
PRJ-SYN-000019,2025-01-05,20,23.66,121.45
PRJ-SYN-000019,2025-02-04,21,25.08,128.15
PRJ-SYN-000019,2025-03-06,22,26.52,134.87
PRJ-SYN-000019,2025-04-05,23,27.98,141.63
PRJ-SYN-000019,2025-05-05,24,29.44,148.42
PRJ-SYN-000019,2025-06-04,25,30.92,155.24
PRJ-SYN-000019,2025-07-04,26,32.41,162.08
PRJ-SYN-000019,2025-08-03,27,33.91,168.95
PRJ-SYN-000019,2025-09-02,28,35.42,175.85
PRJ-SYN-000019,2025-10-02,29,36.95,182.77
PRJ-SYN-000019,2025-11-01,30,38.48,189.71
PRJ-SYN-000019,2025-12-01,31,40.03,196.68
PRJ-SYN-000019,2025-12-31,32,41.58,203.67
PRJ-SYN-000019,2026-01-30,33,43.14,210.68
PRJ-SYN-000019,2026-03-01,34,44.72,217.72
PRJ-SYN-000020,2024-10-07,68,75.44,1053.65
PRJ-SYN-000020,2024-11-06,69,76.78,1070.71
PRJ-SYN-000020,2024-12-06,70,78.11,1087.79
PRJ-SYN-000020,2025-01-05,71,79.45,1104.89
PRJ-SYN-000020,2025-02-04,72,80.8,1122.02
PRJ-SYN-000020,2025-03-06,73,82.15,1139.18
PRJ-SYN-000020,2025-04-05,74,83.5,1156.35
PRJ-SYN-000020,2025-05-05,75,84.85,1173.56
PRJ-SYN-000020,2025-06-04,76,86.21,1190.78
PRJ-SYN-000020,2025-07-04,77,87.58,1208.02
PRJ-SYN-000020,2025-08-03,78,88.94,1225.29
PRJ-SYN-000020,2025-09-02,79,90.31,1242.58
PRJ-SYN-000020,2025-10-02,80,91.69,1259.9
PRJ-SYN-000020,2025-11-01,81,93.06,1277.23
PRJ-SYN-000020,2025-12-01,82,94.44,1294.59
PRJ-SYN-000020,2025-12-31,83,95.83,1311.96
PRJ-SYN-000020,2026-01-30,84,97.22,1329.36
PRJ-SYN-000020,2026-03-01,85,98.61,1346.78
PRJ-SYN-000021,2024-10-07,24,41.28,206.28
PRJ-SYN-000021,2024-11-06,25,43.35,215.76
PRJ-SYN-000021,2024-12-06,26,45.44,225.27
PRJ-SYN-000021,2025-01-05,27,47.54,234.82
PRJ-SYN-000021,2025-02-04,28,49.66,244.4
PRJ-SYN-000021,2025-03-06,29,51.8,254.02
PRJ-SYN-000021,2025-04-05,30,53.95,263.67
PRJ-SYN-000021,2025-05-05,31,56.12,273.35
PRJ-SYN-000021,2025-06-04,32,58.3,283.07
PRJ-SYN-000021,2025-07-04,33,60.49,292.81
PRJ-SYN-000021,2025-08-03,34,62.7,302.59
PRJ-SYN-000021,2025-09-02,35,64.91,312.39
PRJ-SYN-000021,2025-10-02,36,67.15,322.23
PRJ-SYN-000021,2025-11-01,37,69.39,332.09
PRJ-SYN-000021,2025-12-01,38,71.65,341.97
PRJ-SYN-000021,2025-12-31,39,73.92,351.88
PRJ-SYN-000021,2026-01-30,40,76.2,361.82
PRJ-SYN-000021,2026-03-01,41,78.49,371.78
PRJ-SYN-000022,2024-10-07,60,72.99,856.4
PRJ-SYN-000022,2024-11-06,61,74.45,872.11
PRJ-SYN-000022,2024-12-06,62,75.92,887.85
PRJ-SYN-000022,2025-01-05,63,77.39,903.61
PRJ-SYN-000022,2025-02-04,64,78.87,919.4
PRJ-SYN-000022,2025-03-06,65,80.35,935.22
PRJ-SYN-000022,2025-04-05,66,81.84,951.06
PRJ-SYN-000022,2025-05-05,67,83.33,966.92
PRJ-SYN-000022,2025-06-04,68,84.82,982.81
PRJ-SYN-000022,2025-07-04,69,86.32,998.72
PRJ-SYN-000022,2025-08-03,70,87.82,1014.65
PRJ-SYN-000022,2025-09-02,71,89.33,1030.6
PRJ-SYN-000022,2025-10-02,72,90.84,1046.58
PRJ-SYN-000022,2025-11-01,73,92.36,1062.58
PRJ-SYN-000022,2025-12-01,74,93.88,1078.61
PRJ-SYN-000022,2025-12-31,75,95.4,1094.65
PRJ-SYN-000022,2026-01-30,76,96.93,1110.72
PRJ-SYN-000022,2026-03-01,77,98.46,1126.8
PRJ-SYN-000023,2024-10-07,44,58.39,348.38
PRJ-SYN-000023,2024-11-06,45,59.99,357.09
PRJ-SYN-000023,2024-12-06,46,61.59,365.83
PRJ-SYN-000023,2025-01-05,47,63.2,374.59
PRJ-SYN-000023,2025-02-04,48,64.82,383.37
PRJ-SYN-000023,2025-03-06,49,66.44,392.16
PRJ-SYN-000023,2025-04-05,50,68.07,400.97
PRJ-SYN-000023,2025-05-05,51,69.71,409.8
PRJ-SYN-000023,2025-06-04,52,71.35,418.65
PRJ-SYN-000023,2025-07-04,53,73.0,427.52
PRJ-SYN-000023,2025-08-03,54,74.66,436.4
PRJ-SYN-000023,2025-09-02,55,76.32,445.3
PRJ-SYN-000023,2025-10-02,56,77.99,454.21
PRJ-SYN-000023,2025-11-01,57,79.66,463.14
PRJ-SYN-000023,2025-12-01,58,81.34,472.09
PRJ-SYN-000023,2025-12-31,59,83.03,481.05
PRJ-SYN-000023,2026-01-30,60,84.72,490.02
PRJ-SYN-000023,2026-03-01,61,86.42,499.01
PRJ-SYN-000024,2024-10-07,80,78.39,2374.11
PRJ-SYN-000024,2024-11-06,81,79.56,2406.78
PRJ-SYN-000024,2024-12-06,82,80.74,2439.48
PRJ-SYN-000024,2025-01-05,83,81.93,2472.22
PRJ-SYN-000024,2025-02-04,84,83.11,2505.01
PRJ-SYN-000024,2025-03-06,85,84.3,2537.83
PRJ-SYN-000024,2025-04-05,86,85.49,2570.69
PRJ-SYN-000024,2025-05-05,87,86.69,2603.59
PRJ-SYN-000024,2025-06-04,88,87.88,2636.53
PRJ-SYN-000024,2025-07-04,89,89.08,2669.51
PRJ-SYN-000024,2025-08-03,90,90.29,2702.52
PRJ-SYN-000024,2025-09-02,91,91.49,2735.57
PRJ-SYN-000024,2025-10-02,92,92.7,2768.65
PRJ-SYN-000024,2025-11-01,93,93.91,2801.78
PRJ-SYN-000024,2025-12-01,94,95.12,2834.93
PRJ-SYN-000024,2025-12-31,95,96.34,2868.12
PRJ-SYN-000024,2026-01-30,96,97.56,2901.35
PRJ-SYN-000024,2026-03-01,97,98.78,2934.61
PRJ-SYN-000025,2024-10-07,37,62.15,412.63
PRJ-SYN-000025,2024-11-06,38,64.17,424.91
PRJ-SYN-000025,2024-12-06,39,66.2,437.23
PRJ-SYN-000025,2025-01-05,40,68.24,449.58
PRJ-SYN-000025,2025-02-04,41,70.29,461.95
PRJ-SYN-000025,2025-03-06,42,72.35,474.36
PRJ-SYN-000025,2025-04-05,43,74.43,486.8
PRJ-SYN-000025,2025-05-05,44,76.51,499.27
PRJ-SYN-000025,2025-06-04,45,78.6,511.77
PRJ-SYN-000025,2025-07-04,46,80.7,524.29
PRJ-SYN-000025,2025-08-03,47,82.81,536.84
PRJ-SYN-000025,2025-09-02,48,84.93,549.42
PRJ-SYN-000025,2025-10-02,49,87.06,562.02
PRJ-SYN-000025,2025-11-01,50,89.19,574.65
PRJ-SYN-000025,2025-12-01,51,91.34,587.31
PRJ-SYN-000025,2025-12-31,52,93.49,599.99
PRJ-SYN-000025,2026-01-30,53,95.65,612.69
PRJ-SYN-000025,2026-03-01,54,97.82,625.42
PRJ-SYN-000026,2024-10-07,38,62.79,714.23
PRJ-SYN-000026,2024-11-06,39,64.78,734.93
PRJ-SYN-000026,2024-12-06,40,66.78,755.68
PRJ-SYN-000026,2025-01-05,41,68.79,776.49
PRJ-SYN-000026,2025-02-04,42,70.81,797.35
PRJ-SYN-000026,2025-03-06,43,72.83,818.26
PRJ-SYN-000026,2025-04-05,44,74.87,839.21
PRJ-SYN-000026,2025-05-05,45,76.92,860.22
PRJ-SYN-000026,2025-06-04,46,78.97,881.27
PRJ-SYN-000026,2025-07-04,47,81.04,902.36
PRJ-SYN-000026,2025-08-03,48,83.11,923.51
PRJ-SYN-000026,2025-09-02,49,85.19,944.69
PRJ-SYN-000026,2025-10-02,50,87.28,965.92
PRJ-SYN-000026,2025-11-01,51,89.38,987.19
PRJ-SYN-000026,2025-12-01,52,91.49,1008.5
PRJ-SYN-000026,2025-12-31,53,93.61,1029.86
PRJ-SYN-000026,2026-01-30,54,95.73,1051.25
PRJ-SYN-000026,2026-03-01,55,97.86,1072.69
PRJ-SYN-000027,2024-10-07,35,38.99,2720.47
PRJ-SYN-000027,2024-11-06,36,40.33,2806.09
PRJ-SYN-000027,2024-12-06,37,41.68,2891.95
PRJ-SYN-000027,2025-01-05,38,43.03,2978.04
PRJ-SYN-000027,2025-02-04,39,44.4,3064.36
