ministry,sector,state,region,implementing_agency,project_type,primary_bottleneck,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,remaining_planned_months,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,expenditure_per_progress_point,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,milestone_completion_rate
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,1354.03,67.0,18.0,0.2687,49.0,1444.81,100.0,106.7,6.7,14.45,10,10,7,0,0.7,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Andhra Pradesh,South,Metro Rail Infrastructure SPV,Capacity Augmentation / 6-Laning,NONE,1045.73,64.0,18.0,0.2812,46.0,962.78,87.41,92.07,4.66,11.01,10,8,8,0,0.8,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,LAND_ACQUISITION,433.4,51.0,18.0,0.3529,33.0,223.75,40.12,51.63,11.51,5.58,10,3,3,0,0.3,0.3
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,404.98,35.0,18.0,0.5143,17.0,424.86,100.0,104.91,4.91,4.25,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LAND_ACQUISITION,921.09,60.0,18.0,0.3,42.0,900.69,78.96,97.79,18.83,11.41,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,669.16,59.0,18.0,0.3051,41.0,550.26,83.7,82.23,-1.47,6.57,10,7,4,1,0.4,0.7
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,798.42,48.0,18.0,0.375,30.0,971.65,100.0,121.7,21.7,9.72,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Greenfield Construction,NONE,2421.08,50.0,18.0,0.36,32.0,2410.3,100.0,99.55,-0.45,24.1,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,ENVIRONMENTAL_CLEARANCE,588.17,58.0,18.0,0.3103,40.0,732.01,88.9,124.46,35.56,8.23,10,8,9,0,0.9,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Uttar Pradesh,North,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,LAND_ACQUISITION,538.39,30.0,18.0,0.6,12.0,671.97,100.0,124.81,24.81,6.72,10,10,9,0,0.9,1.0
Ministry of Power,Power,Madhya Pradesh,Central,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,PROCUREMENT,160.89,72.0,18.0,0.25,54.0,131.19,67.25,81.54,14.29,1.95,10,6,7,0,0.7,0.6
Ministry of Railways,Railways,Odisha,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,UTILITY_SHIFTING,2305.8,66.0,18.0,0.2727,48.0,2435.66,100.0,105.63,5.63,24.36,10,10,5,0,0.5,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,LAND_ACQUISITION,1067.96,34.0,18.0,0.5294,16.0,1324.79,100.0,124.05,24.05,13.25,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LEGAL_DISPUTE,773.38,54.0,18.0,0.3333,36.0,837.01,69.88,108.23,38.35,11.98,10,6,7,0,0.7,0.6
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,902.82,63.0,18.0,0.2857,45.0,1161.7,82.11,128.67,46.56,14.15,10,7,8,0,0.8,0.7
Ministry of Power,Power,Rajasthan,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,NONE,329.27,33.0,18.0,0.5455,15.0,332.47,100.0,100.97,0.97,3.32,10,10,1,0,0.1,1.0
Ministry of Railways,Railways,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,FOREST_CLEARANCE,3657.27,53.0,18.0,0.3396,35.0,4367.08,100.0,119.41,19.41,43.67,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Andhra Pradesh,South,Metro Rail Infrastructure SPV,Strategic Interconnection,NONE,1296.56,39.0,18.0,0.4615,21.0,1317.47,89.59,101.61,12.02,14.71,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LEGAL_DISPUTE,1765.22,24.0,18.0,0.75,6.0,2182.89,100.0,123.66,23.66,21.83,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Jharkhand,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,UTILITY_SHIFTING,646.36,70.0,18.0,0.2571,52.0,701.0,100.0,108.45,8.45,7.01,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Chhattisgarh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,1160.58,71.0,18.0,0.2535,53.0,804.82,44.62,69.35,24.73,18.04,10,4,5,0,0.5,0.4
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Karnataka,South,Major Ports Authority,Greenfield Construction,PROCUREMENT,848.94,48.0,18.0,0.375,30.0,997.69,89.67,117.52,27.85,11.13,10,8,9,0,0.9,0.8
Ministry of Housing & Urban Affairs,Urban Transit,Maharashtra,West,Metro Rail Infrastructure SPV,Corridor Modernization,NONE,6524.93,62.0,18.0,0.2903,44.0,6857.87,100.0,105.1,5.1,68.58,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,NONE,1393.51,54.0,18.0,0.3333,36.0,1558.6,93.32,111.85,18.53,16.7,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,PROCUREMENT,1820.12,58.0,18.0,0.3103,40.0,2144.69,100.0,117.83,17.83,21.45,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Odisha,East,Metro Rail Infrastructure SPV,Corridor Modernization,UTILITY_SHIFTING,1379.97,67.0,18.0,0.2687,49.0,1397.24,87.88,101.25,13.37,15.9,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Corridor Modernization,ENVIRONMENTAL_CLEARANCE,3817.23,53.0,18.0,0.3396,35.0,4827.23,96.85,126.46,29.61,49.84,10,9,10,0,1.0,0.9
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DESIGN_CHANGE,310.09,59.0,18.0,0.3051,41.0,321.34,85.44,103.63,18.19,3.76,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,264.33,68.0,18.0,0.2647,50.0,249.88,85.02,94.53,9.51,2.94,10,8,8,0,0.8,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Odisha,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,ENVIRONMENTAL_CLEARANCE,242.73,52.0,18.0,0.3462,34.0,295.44,96.91,121.72,24.81,3.05,10,9,10,0,1.0,0.9
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,PROCUREMENT,3868.53,29.0,18.0,0.6207,11.0,4340.34,100.0,112.2,12.2,43.4,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,LAND_ACQUISITION,703.68,45.0,18.0,0.4,27.0,910.71,100.0,129.42,29.42,9.11,10,10,10,0,1.0,1.0
Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,ENVIRONMENTAL_CLEARANCE,1202.95,45.0,18.0,0.4,27.0,1407.33,100.0,116.99,16.99,14.07,10,10,10,0,1.0,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,NONE,227.23,40.0,18.0,0.45,22.0,247.85,100.0,109.07,9.07,2.48,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DESIGN_CHANGE,174.88,50.0,18.0,0.36,32.0,197.79,100.0,113.1,13.1,1.98,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Greenfield Construction,FOREST_CLEARANCE,976.37,61.0,18.0,0.2951,43.0,917.29,70.85,93.95,23.1,12.95,10,6,7,0,0.7,0.6
Ministry of Housing & Urban Affairs,Urban Transit,Uttar Pradesh,North,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,UTILITY_SHIFTING,1457.32,31.0,18.0,0.5806,13.0,1640.79,100.0,112.59,12.59,16.41,10,10,8,0,0.8,1.0
Ministry of Civil Aviation,Civil Aviation,Odisha,East,Airports Authority of India (AAI),Greenfield Construction,UTILITY_SHIFTING,1312.48,54.0,18.0,0.3333,36.0,1452.97,100.0,110.7,10.7,14.53,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,NONE,176.42,29.0,18.0,0.6207,11.0,183.62,100.0,104.08,4.08,1.84,10,10,8,0,0.8,1.0
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Rajasthan,North,Major Ports Authority,Corridor Modernization,LAND_ACQUISITION,911.11,34.0,18.0,0.5294,16.0,1158.04,100.0,127.1,27.1,11.58,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,CONTRACTOR,1333.51,65.0,18.0,0.2769,47.0,1046.79,59.77,78.5,18.73,17.51,10,5,6,0,0.6,0.5
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,2082.01,39.0,18.0,0.4615,21.0,2252.88,100.0,108.21,8.21,22.53,10,10,8,0,0.8,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,West Bengal,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,821.89,65.0,18.0,0.2769,47.0,1005.36,90.29,122.32,32.03,11.13,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Corridor Modernization,ENVIRONMENTAL_CLEARANCE,221.22,48.0,18.0,0.375,30.0,247.97,96.29,112.09,15.8,2.58,10,9,10,0,1.0,0.9
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,150.0,42.0,18.0,0.4286,24.0,186.69,100.0,124.46,24.46,1.87,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Madhya Pradesh,Central,Metro Rail Infrastructure SPV,Strategic Interconnection,LAND_ACQUISITION,1058.4,72.0,18.0,0.25,54.0,1333.08,93.14,125.95,32.81,14.31,10,8,9,0,0.9,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Maharashtra,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,UTILITY_SHIFTING,298.93,41.0,18.0,0.439,23.0,358.98,100.0,120.09,20.09,3.59,10,10,9,0,0.9,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Jharkhand,East,Metro Rail Infrastructure SPV,Corridor Modernization,NONE,1651.87,30.0,18.0,0.6,12.0,1645.4,100.0,99.61,-0.39,16.45,10,10,2,0,0.2,1.0
Ministry of Power,Power,Tamil Nadu,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,LAND_ACQUISITION,591.45,58.0,18.0,0.3103,40.0,397.97,40.78,67.29,26.51,9.76,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,1103.96,53.0,18.0,0.3396,35.0,616.26,36.37,55.82,19.45,16.94,10,3,4,0,0.4,0.3
Ministry of Housing & Urban Affairs,Urban Transit,Uttar Pradesh,North,Metro Rail Infrastructure SPV,Corridor Modernization,NONE,2671.75,30.0,18.0,0.6,12.0,2823.55,100.0,105.68,5.68,28.24,10,10,5,0,0.5,1.0
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,150.0,69.0,18.0,0.2609,51.0,111.31,59.25,74.21,14.96,1.88,10,5,6,0,0.6,0.5
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,824.19,46.0,18.0,0.3913,28.0,810.87,85.68,98.38,12.7,9.46,10,8,6,1,0.6,0.8
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Andhra Pradesh,South,Major Ports Authority,Rehabilitation & Upgradation,PROCUREMENT,152.27,33.0,18.0,0.5455,15.0,149.63,95.27,98.27,3.0,1.57,10,9,9,0,0.9,0.9
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,CONTRACTOR,793.13,31.0,18.0,0.5806,13.0,951.74,100.0,120.0,20.0,9.52,10,10,9,0,0.9,1.0
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Tamil Nadu,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,NONE,818.63,63.0,18.0,0.2857,45.0,641.45,77.96,78.36,0.4,8.23,10,7,7,0,0.7,0.7
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,FOREST_CLEARANCE,3280.74,66.0,18.0,0.2727,48.0,3909.98,76.68,119.18,42.5,50.99,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,1908.25,49.0,18.0,0.3673,31.0,2115.09,100.0,110.84,10.84,21.15,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,INTERDEPARTMENTAL_DEPENDENCY,741.56,28.0,18.0,0.6429,10.0,900.05,88.72,121.37,32.65,10.14,10,8,8,0,0.8,0.8
Ministry of Power,Power,Tamil Nadu,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,ENVIRONMENTAL_CLEARANCE,323.45,40.0,18.0,0.45,22.0,338.31,77.94,104.59,26.65,4.34,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LEGAL_DISPUTE,2401.74,64.0,18.0,0.2812,46.0,1167.25,44.76,48.6,3.84,26.08,10,4,5,0,0.5,0.4
Ministry of Power,Power,Madhya Pradesh,Central,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,NONE,610.38,65.0,18.0,0.2769,47.0,673.67,90.61,110.37,19.76,7.43,10,8,9,0,0.9,0.8
Ministry of Jal Shakti,Water Resources,Chhattisgarh,Central,National Water Development Agency,Corridor Modernization,FOREST_CLEARANCE,1875.48,56.0,18.0,0.3214,38.0,2340.08,100.0,124.77,24.77,23.4,10,10,10,0,1.0,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Andhra Pradesh,South,Metro Rail Infrastructure SPV,Greenfield Construction,FOREST_CLEARANCE,1327.17,26.0,18.0,0.6923,8.0,1517.75,100.0,114.36,14.36,15.18,10,10,7,0,0.7,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,1164.12,71.0,18.0,0.2535,53.0,775.99,43.25,66.66,23.41,17.94,10,4,5,0,0.5,0.4
Ministry of Coal,Coal Infrastructure,Rajasthan,North,Coal Infrastructure PSU,Strategic Interconnection,FOREST_CLEARANCE,472.12,41.0,18.0,0.439,23.0,566.69,100.0,120.03,20.03,5.67,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,676.19,67.0,18.0,0.2687,49.0,613.76,92.59,90.77,-1.82,6.63,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,2823.16,33.0,18.0,0.5455,15.0,3306.15,100.0,117.11,17.11,33.06,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,CONTRACTOR,527.22,50.0,18.0,0.36,32.0,616.27,90.53,116.89,26.36,6.81,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,CONTRACTOR,206.34,35.0,18.0,0.5143,17.0,219.9,100.0,106.57,6.57,2.2,10,10,5,0,0.5,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,672.12,65.0,18.0,0.2769,47.0,360.38,28.51,53.62,25.11,12.64,10,2,3,0,0.3,0.2
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,FOREST_CLEARANCE,4085.14,47.0,18.0,0.383,29.0,4961.35,100.0,121.45,21.45,49.61,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Jharkhand,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,1729.95,64.0,18.0,0.2812,46.0,644.07,22.82,37.23,14.41,28.22,10,2,3,0,0.3,0.2
Ministry of Power,Power,Assam,Northeast,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,FOREST_CLEARANCE,325.19,26.0,18.0,0.6923,8.0,408.39,100.0,125.59,25.59,4.08,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,150.0,27.0,18.0,0.6667,9.0,149.76,94.6,99.84,5.24,1.58,10,9,7,1,0.7,0.9
Ministry of Housing & Urban Affairs,Urban Transit,Telangana,South,Metro Rail Infrastructure SPV,Corridor Modernization,LAND_ACQUISITION,2118.66,31.0,18.0,0.5806,13.0,2696.41,100.0,127.27,27.27,26.96,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,271.14,41.0,18.0,0.439,23.0,279.08,100.0,102.93,2.93,2.79,10,10,8,0,0.8,1.0
Ministry of Power,Power,Tamil Nadu,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,2609.95,35.0,18.0,0.5143,17.0,3274.12,100.0,125.45,25.45,32.74,10,10,10,0,1.0,1.0
Ministry of Power,Power,Andhra Pradesh,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,UTILITY_SHIFTING,626.47,63.0,18.0,0.2857,45.0,703.94,88.66,112.37,23.71,7.94,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Greenfield Construction,NONE,1403.71,70.0,18.0,0.2571,52.0,1395.75,94.96,99.43,4.47,14.7,10,9,10,0,1.0,0.9
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Corridor Modernization,FOREST_CLEARANCE,323.03,32.0,18.0,0.5625,14.0,381.06,100.0,117.96,17.96,3.81,10,10,9,0,0.9,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Tamil Nadu,South,Metro Rail Infrastructure SPV,Strategic Interconnection,NONE,319.55,42.0,18.0,0.4286,24.0,334.77,100.0,104.76,4.76,3.35,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Odisha,East,Railway Infrastructure Board / DFCCIL,Corridor Modernization,NONE,172.29,72.0,18.0,0.25,54.0,168.44,98.72,97.77,-0.95,1.71,10,9,8,1,0.8,0.9
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Strategic Interconnection,DESIGN_CHANGE,3433.78,32.0,18.0,0.5625,14.0,4006.7,100.0,116.68,16.68,40.07,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,1585.43,64.0,18.0,0.2812,46.0,648.24,28.98,40.89,11.91,22.37,10,2,3,0,0.3,0.2
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Chhattisgarh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,NONE,2216.61,28.0,18.0,0.6429,10.0,2218.52,100.0,100.09,0.09,22.19,10,10,4,0,0.4,1.0
Ministry of Power,Power,Karnataka,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Capacity Augmentation / 6-Laning,UTILITY_SHIFTING,530.06,26.0,18.0,0.6923,8.0,630.81,100.0,119.01,19.01,6.31,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,404.65,28.0,18.0,0.6429,10.0,408.65,81.04,100.99,19.95,5.04,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,FOREST_CLEARANCE,3749.68,71.0,18.0,0.2535,53.0,1481.64,27.24,39.51,12.27,54.39,10,2,3,0,0.3,0.2
