project_id,project_name,ministry,department,sector,sub_sector,state,region,implementing_agency,project_type,project_status,project_stage,original_cost_cr,revised_cost_cr,cost_overrun_cr,cost_growth_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,progress_decoupling_gap,start_date,planned_completion_date,revised_completion_date,planned_duration_months,revised_duration_months,schedule_slippage_months,schedule_revisions_count,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,primary_bottleneck,secondary_bottleneck,target_schedule_delay_months,target_cost_overrun_pct,target_risk_class,overall_risk_score,data_source,data_status
PRJ-SYN-000011,Ken-Betwa River Interlinking National Project — Package 3 (Design & Build EPC),Ministry of Jal Shakti,National Water Mission Directorate,Water Resources,Multipurpose Dam Project,Bihar,East,National Water Development Agency,Greenfield Construction,DELAYED,Execution,1963.15,2110.78,147.63,7.52,1539.86,71.74,72.95,1.21,2023-12-01,2027-03-01,2027-10-01,39,46,7,1,10,6,5,0,0.5,NONE,NONE,7,7.52,LOW,23.6,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000012,Eastern Dedicated Freight Corridor — Civil Package 1 (Underground Tunnel),Ministry of Railways,Project Development Directorate,Railways,Freight Corridors,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Corridor Modernization,DELAYED,Execution,276.57,311.31,34.74,12.56,284.09,91.58,91.26,-0.32,2021-10-01,2026-06-01,2027-04-01,56,66,10,2,10,8,8,0,0.8,NONE,NONE,10,12.56,MODERATE,35.3,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000013,Rishikesh-Karanprayag Rail Line — Stage-I Commissioning Phase,Ministry of Railways,Project Development Directorate,Railways,High Speed Rail,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,COMPLETED,Commissioned,1175.34,1243.16,67.82,5.77,1213.84,100.0,97.64,-2.36,2022-01-01,2025-08-01,2026-01-01,43,48,5,1,10,10,9,0,0.9,NONE,NONE,5,5.77,LOW,25.2,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000014,Bundelkhand Expressway Spur — Section II (Km 45.50 to 112.00),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,National Corridors,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,COMPLETED,Commissioned,174.16,194.21,20.05,11.51,192.44,100.0,99.09,-0.91,2021-07-01,2024-10-01,2025-05-01,39,46,7,1,10,10,9,0,0.9,NONE,NONE,7,11.51,LOW,31.0,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000015,Mumbai-Ahmedabad High Speed Rail — Reach 2 (Ch. 24+000 to 68+500),Ministry of Railways,Project Development Directorate,Railways,Electrification,Karnataka,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,AT_RISK,Execution,1932.23,1932.23,0.0,0.0,1624.83,80.65,84.09,3.44,2022-08-01,2027-12-01,2028-03-01,64,67,3,1,10,7,3,1,0.3,NONE,NONE,3,0.0,LOW,9.8,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000016,Bundelkhand Expressway Spur — Section I (Km 0.00 to 45.50),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Assam,Northeast,National Highways Authority of India (NHAI),Corridor Modernization,CRITICAL,Execution,3203.36,3963.52,760.16,23.73,1534.8,36.38,38.72,2.34,2023-12-01,2028-10-01,2030-05-01,58,77,19,3,10,3,4,0,0.4,CONTRACTOR,NONE,19,23.73,MODERATE,51.9,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000017,Delhi-Mumbai Expressway — Reach 2 (Ch. 24+000 to 68+500),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,AT_RISK,Execution,699.29,747.68,48.39,6.92,697.21,96.39,93.25,-3.14,2020-06-01,2026-06-01,2026-11-01,72,77,5,1,10,9,8,1,0.8,UTILITY_SHIFTING,LEGAL_DISPUTE,5,6.92,LOW,22.3,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000018,Khurda Road-Bolangir New Line — Package 3 (Design & Build EPC),Ministry of Railways,Project Development Directorate,Railways,Freight Corridors,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,CRITICAL,Execution,5449.52,7117.62,1668.1,30.61,5360.19,71.02,75.31,4.29,2022-11-01,2026-11-01,2028-06-01,48,67,19,3,10,6,7,0,0.7,LAND_ACQUISITION,NONE,19,30.61,HIGH,60.2,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000019,Char Dham Highway Connectivity — Reach 2 (Ch. 24+000 to 68+500),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Economic Arteries,Rajasthan,North,National Highways Authority of India (NHAI),Strategic Interconnection,CRITICAL,Execution,297.78,367.85,70.07,23.53,224.77,46.3,61.1,14.8,2023-05-01,2028-08-01,2030-04-01,63,83,20,3,10,4,5,0,0.5,CONTRACTOR,NONE,20,23.53,HIGH,57.6,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000020,Raipur-Visakhapatnam Corridor — Civil Package 1 (Underground Tunnel),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Economic Arteries,Bihar,East,National Highways Authority of India (NHAI),Corridor Modernization,COMPLETED,Commissioned,1083.67,1402.38,318.71,29.41,1364.22,100.0,97.28,-2.72,2019-02-01,2022-05-01,2023-09-01,39,55,16,2,10,10,10,0,1.0,FOREST_CLEARANCE,NONE,16,29.41,HIGH,57.1,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000021,Zojila Tunnel Approach Road — Package 3 (Design & Build EPC),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Expressways,Maharashtra,West,National Highways Authority of India (NHAI),Strategic Interconnection,DELAYED,Execution,369.62,440.85,71.23,19.27,381.77,80.79,86.6,5.81,2022-10-01,2026-04-01,2027-05-01,42,55,13,2,10,7,8,0,0.8,INTERDEPARTMENTAL_DEPENDENCY,NONE,13,19.27,MODERATE,46.2,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000022,"Chennai Metro Rail Phase-II Corridor 3, 4 & 5 — Stage-I Commissioning Phase",Ministry of Housing & Urban Affairs,Urban Mass Transit Cell,Urban Transit,Metro Rail Rapid Transit,Andhra Pradesh,South,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,COMPLETED,Commissioned,1122.05,1146.06,24.01,2.14,1142.91,100.0,99.73,-0.27,2019-10-01,2023-05-01,2023-07-01,43,45,2,1,10,10,4,0,0.4,NONE,NONE,2,2.14,LOW,8.1,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000023,Bundelkhand Expressway Spur — Reach 2 (Ch. 24+000 to 68+500),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,DELAYED,Execution,554.77,573.02,18.25,3.29,508.02,88.12,88.66,0.54,2021-02-01,2026-09-01,2027-05-01,67,75,8,1,10,8,8,0,0.8,NONE,NONE,8,3.29,LOW,24.8,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000024,Bundelkhand Expressway Spur — Section II (Km 45.50 to 112.00),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,COMPLETED,Commissioned,2355.56,3015.82,660.26,28.03,2967.91,100.0,98.41,-1.59,2018-02-01,2021-04-01,2022-06-01,38,52,14,2,10,10,10,0,1.0,LEGAL_DISPUTE,NONE,14,28.03,HIGH,56.4,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000025,Ahmedabad-Dholera Expressway — Section I (Km 0.00 to 45.50),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Karnataka,South,National Highways Authority of India (NHAI),Corridor Modernization,COMPLETED,Commissioned,568.82,646.92,78.1,13.73,638.17,100.0,98.65,-1.35,2021-09-01,2023-09-01,2024-01-01,24,28,4,1,10,10,8,0,0.8,FOREST_CLEARANCE,NONE,4,13.73,LOW,25.8,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000026,Bhopal-Ramganjmandi Line — Package 3 (Design & Build EPC),Ministry of Railways,Project Development Directorate,Railways,Freight Corridors,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,COMPLETED,Commissioned,915.89,1096.32,180.43,19.7,1094.16,100.0,99.8,-0.2,2021-08-01,2024-11-01,2025-08-01,39,48,9,2,10,10,9,0,0.9,LAND_ACQUISITION,CONTRACTOR,9,19.7,MODERATE,40.6,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000027,Coastal Road Coastal Highway — Stage-I Commissioning Phase,Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,National Corridors,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,CRITICAL,Execution,5289.73,6703.67,1413.94,26.73,4294.1,64.15,64.06,-0.09,2021-11-01,2027-04-01,2029-09-01,65,94,29,4,10,6,7,0,0.7,INTERDEPARTMENTAL_DEPENDENCY,NONE,29,26.73,CRITICAL,67.0,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000028,Rajasthan Refinery Project Pachpadra — EPC Package II (Terminal & Marine Berths),Ministry of Petroleum & Natural Gas,Pipeline & Downstream Directorate,Petroleum & Natural Gas,,Madhya Pradesh,Central,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,COMPLETED,Commissioned,1827.14,1973.86,146.72,8.03,1946.1,100.0,98.59,-1.41,2018-11-01,2024-08-01,2025-05-01,69,78,9,2,10,10,9,0,0.9,UTILITY_SHIFTING,NONE,9,8.03,LOW,29.9,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000029,Kandla-Gorakhpur LPG Pipeline — Section II (Km 45.50 to 112.00),Ministry of Petroleum & Natural Gas,Pipeline & Downstream Directorate,Petroleum & Natural Gas,Refinery Modernization,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,COMPLETED,Commissioned,811.76,892.85,81.09,9.99,886.01,100.0,99.23,-0.77,2021-08-01,2024-02-01,2024-07-01,30,35,5,1,10,10,8,0,0.8,NONE,NONE,5,9.99,LOW,27.0,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000030,Barauni-Guwahati Natural Gas Pipeline — Section I (Km 0.00 to 45.50),Ministry of Petroleum & Natural Gas,Pipeline & Downstream Directorate,Petroleum & Natural Gas,Strategic Storage,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,COMPLETED,Commissioned,271.14,283.45,12.31,4.54,276.35,100.0,97.5,-2.5,2019-02-01,2022-08-01,2023-01-01,42,47,5,1,10,10,9,0,0.9,NONE,NONE,5,4.54,LOW,24.2,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000031,Ennore-Thiruvallur-Bengaluru Gas Pipeline — Section II (Km 45.50 to 112.00),Ministry of Petroleum & Natural Gas,Pipeline & Downstream Directorate,Petroleum & Natural Gas,Strategic Storage,Odisha,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,CRITICAL,Execution,579.4,724.13,144.73,24.98,498.2,75.45,68.8,-6.65,2020-11-01,2026-10-01,2028-07-01,71,92,21,3,10,7,8,0,0.8,FOREST_CLEARANCE,NONE,21,24.98,HIGH,60.2,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000032,Purvanchal Expressway Link — Reach 2 (Ch. 24+000 to 68+500),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,National Corridors,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,COMPLETED,Commissioned,538.4,578.08,39.68,7.37,575.57,100.0,99.57,-0.43,2019-07-01,2024-12-01,2025-04-01,65,69,4,1,10,10,8,0,0.8,NONE,NONE,4,7.37,LOW,23.6,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000033,Amritsar-Jamnagar Economic Corridor — Package 3 (Design & Build EPC),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Economic Arteries,Odisha,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,COMPLETED,Commissioned,488.47,538.78,50.31,10.3,524.67,100.0,97.38,-2.62,2019-06-01,2022-03-01,2022-09-01,33,39,6,1,10,10,8,0,0.8,PROCUREMENT,NONE,6,10.3,LOW,29.7,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000034,Western Dedicated Freight Corridor — Reach 2 (Ch. 24+000 to 68+500),Ministry of Railways,Project Development Directorate,Railways,Freight Corridors,West Bengal,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,COMPLETED,Commissioned,1627.83,1798.1,170.27,10.46,1764.7,100.0,98.14,-1.86,2021-02-01,2023-07-01,2023-12-01,29,34,5,1,10,10,8,0,0.8,NONE,NONE,5,10.46,LOW,26.2,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000035,Rajasthan Refinery Project Pachpadra — Section II (Km 45.50 to 112.00),Ministry of Petroleum & Natural Gas,Pipeline & Downstream Directorate,Petroleum & Natural Gas,Refinery Modernization,Gujarat,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,COMPLETED,Commissioned,1380.3,1490.31,110.01,7.97,1451.07,100.0,97.37,-2.63,2019-11-01,2024-05-01,2025-03-01,54,64,10,2,10,10,9,0,0.9,NONE,NONE,10,7.97,LOW,33.1,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000036,Barauni-Guwahati Natural Gas Pipeline — Civil Package 1 (Underground Tunnel),Ministry of Petroleum & Natural Gas,Pipeline & Downstream Directorate,Petroleum & Natural Gas,Refinery Modernization,Telangana,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,COMPLETED,Commissioned,3439.09,4067.07,627.98,18.26,3953.55,100.0,97.21,-2.79,2023-09-01,2025-10-01,2026-03-01,25,30,5,1,10,10,8,0,0.8,ENVIRONMENTAL_CLEARANCE,NONE,5,18.26,LOW,33.1,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000037,North Karanpura Super Thermal Power Project — Civil Package 1 (Underground Tunnel),Ministry of Power,Thermal & Hydro Energy Bureau,Power,Thermal Generation,Karnataka,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,CRITICAL,Execution,861.02,1090.83,229.81,26.69,938.27,77.57,86.01,8.44,2020-04-01,2026-04-01,2029-01-01,72,105,33,5,10,7,8,0,0.8,LAND_ACQUISITION,FOREST_CLEARANCE,33,26.69,CRITICAL,76.5,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000038,Barauni-Guwahati Natural Gas Pipeline — Stage-I Commissioning Phase,Ministry of Petroleum & Natural Gas,Pipeline & Downstream Directorate,Petroleum & Natural Gas,Refinery Modernization,Bihar,East,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,COMPLETED,Commissioned,740.7,951.28,210.58,28.43,942.42,100.0,99.07,-0.93,2018-06-01,2023-06-01,2025-07-01,60,85,25,4,10,10,10,0,1.0,LAND_ACQUISITION,NONE,25,28.43,CRITICAL,66.6,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000039,Raipur-Visakhapatnam Corridor — Package 3 (Design & Build EPC),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Economic Arteries,Gujarat,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,COMPLETED,Commissioned,554.91,647.36,92.45,16.66,645.89,100.0,99.77,-0.23,2019-11-01,2022-03-01,2023-01-01,28,38,10,2,10,10,9,0,0.9,NONE,NONE,10,16.66,MODERATE,36.9,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000040,Udhampur-Srinagar-Baramulla Rail Link — Civil Package 1 (Underground Tunnel),Ministry of Railways,Project Development Directorate,Railways,Freight Corridors,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Greenfield Construction,CRITICAL,Execution,1313.23,1681.85,368.62,28.07,1316.41,76.31,78.27,1.96,2021-10-01,2026-09-01,2028-10-01,59,84,25,4,10,7,8,0,0.8,LEGAL_DISPUTE,NONE,25,28.07,CRITICAL,69.0,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000041,Purvanchal Expressway Link — Stage-I Commissioning Phase,Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Economic Arteries,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DELAYED,Execution,600.63,638.83,38.2,6.36,571.3,82.56,89.43,6.87,2022-11-01,2026-11-01,2027-06-01,48,55,7,1,10,7,8,0,0.8,NONE,NONE,7,6.36,LOW,31.4,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000042,Barauni-Guwahati Natural Gas Pipeline — Stage-I Commissioning Phase,Ministry of Petroleum & Natural Gas,Pipeline & Downstream Directorate,Petroleum & Natural Gas,Strategic Storage,Andhra Pradesh,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Greenfield Construction,COMPLETED,Commissioned,683.23,743.63,60.4,8.84,740.87,100.0,99.63,-0.37,2019-06-01,2024-01-01,2024-09-01,55,63,8,1,10,10,9,0,0.9,NONE,NONE,8,8.84,LOW,31.6,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000043,Khavda Renewable Energy Park Grid Interconnection — Contract Package 4B (Elevated Viaduct),Ministry of Power,Thermal & Hydro Energy Bureau,Power,Solar Parks,Gujarat,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Strategic Interconnection,DELAYED,Execution,2032.18,2524.58,492.4,24.23,1569.07,48.9,62.15,13.25,2023-10-01,2028-02-01,2029-03-01,52,65,13,2,10,4,5,0,0.5,LAND_ACQUISITION,LEGAL_DISPUTE,13,24.23,MODERATE,49.0,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000044,Eastern Dedicated Freight Corridor — Contract Package 4B (Elevated Viaduct),Ministry of Railways,Project Development Directorate,Railways,Electrification,West Bengal,East,Railway Infrastructure Board / DFCCIL,Corridor Modernization,DELAYED,Execution,2978.1,3320.88,342.78,11.51,3103.93,96.06,93.47,-2.59,2021-09-01,2025-08-01,2026-10-01,47,61,14,2,10,9,10,0,1.0,NONE,NONE,14,11.51,MODERATE,42.7,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000045,NH-48 Golden Quadrilateral — Section I (Km 0.00 to 45.50),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Economic Arteries,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DELAYED,Execution,829.97,879.02,49.05,5.91,726.64,90.34,82.66,-7.68,2021-10-01,2026-08-01,2027-05-01,58,67,9,2,10,8,8,0,0.8,NONE,NONE,9,5.91,LOW,27.8,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000046,Raipur-Visakhapatnam Corridor — Section II (Km 45.50 to 112.00),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Expressways,Tamil Nadu,South,National Highways Authority of India (NHAI),Greenfield Construction,COMPLETED,Commissioned,4773.88,6160.21,1386.33,29.04,6149.79,100.0,99.83,-0.17,2020-03-01,2022-05-01,2023-03-01,26,36,10,2,10,10,9,0,0.9,LAND_ACQUISITION,,10,29.04,MODERATE,49.7,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000047,Eastern Dedicated Freight Corridor — EPC Package II (Terminal & Marine Berths),Ministry of Railways,Project Development Directorate,Railways,Track Doubling,Karnataka,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,COMPLETED,Commissioned,886.86,1040.46,153.6,17.32,1030.78,100.0,99.07,-0.93,2022-05-01,2024-10-01,2025-04-01,29,35,6,1,10,10,8,0,0.8,FOREST_CLEARANCE,PROCUREMENT,6,17.32,LOW,32.5,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
PRJ-SYN-000048,NH-44 North-South Corridor — Package 3 (Design & Build EPC),Ministry of Road Transport & Highways,Highways & Connectivity Wing,Roads & Highways,Bridges & Tunnels,Uttar Pradesh,North,National Highways Authority of India (NHAI),Corridor Modernization,DELAYED,Execution,788.6,829.92,41.32,5.24,635.93,89.82,76.63,-13.19,2021-02-01,2026-02-01,2026-11-01,60,69,9,2,10,8,8,0,0.8,NONE,NONE,9,5.24,LOW,25.6,PAIMANA-Modeled Synthetic Baseline,SYNTHETIC
